"SimID","Size","LambdaIntDev","LambdaSlopeDev","IntraIntDev","IntraSlopeDev","GenericIntDev","GenericSlopeDev","NonGenericIntDev","NonGenericSlopeDev","NumNonGenericInt","NumNonGenericSlope","NumNonGenericSpecies","RMSE","PrelimMaxRhat","PrelimNumDiv","PrelimMeanNeff","FinalMaxRhat","FinalNumDiv","FinalMeanNeff"
858,50,-0.185889474611031,-0.0067178745716418,-0.114886656411797,-0.00808243517796559,-2.6729886956465,0.0519975334901117,NA,-1.68001699768387,0,1,1,0.297163194299395,1.00356531193345,0,4368.12582354509,1.00978375921193,0,6334.53688925742
858,200,-0.0192806868727018,-0.0321953935377554,0.0236848970470942,-0.0389303967459755,-0.205323702998258,0.0569081751913106,0.0710017259515308,-0.354499496206223,1,4,5,0.254382288278252,1.00214223100534,0,3530.58048877454,1.01127211319698,0,5042.55771649853
859,10,-0.350153870616455,-0.356720189751577,-3.35110268228145,-0.773744708966591,-0.42947340588703,-0.0265603532427123,NA,NA,0,0,0,0.540151867962131,1.00226172899537,0,4670.92874820588,1.00095666456817,0,5150.08587046931
859,50,-0.265820059348691,-0.237855982967724,-3.89506233875386,-0.691307660882453,0.156189441444434,0.0175088241651882,NA,NA,0,0,0,0.472168399629967,1.00201931874576,0,3807.22804277807,1.00187119932501,0,6398.19051101018
859,200,-0.0267548582109984,-0.0568812205210255,-1.0541387254716,-0.322884879663889,-0.249615898425314,-0.00754587990719404,0.350444039456317,NA,3,0,3,0.45273514250988,1.00263334655704,0,4160.62704243672,1.00453000919789,0,6067.93692017512
860,10,0.0374277879285532,0.0330879638521899,-0.00907208311972907,-0.0823163967949879,0.136286784622231,-0.38588279657039,NA,NA,0,0,0,0.245823366369101,1.00242777323209,0,4549.15931726019,1.00202460368533,0,6436.77881379953
860,50,0.109169987803946,-0.0529842795208342,0.129826792696784,-0.0716627536260647,-0.330365128791033,-0.606199706579374,0.267384370103168,NA,1,0,1,0.239526741875861,1.00543282732798,0,4345.77296452695,1.0011260565193,0,5825.66366964843
860,200,0.0577827774876047,0.00822017584103141,0.0333773954545733,0.0252457485338135,-0.0186646056676141,-0.367193510114183,0.00718763550184942,0.61224988956712,1,2,3,0.213864112013548,1.00281915583284,0,3747.05806698514,1.00048303973149,0,7950.6557397882
861,10,0.135568554221863,-0.145191995661963,0.0276615818502823,-0.249787062734077,-0.0509496901947042,0.148100371212011,NA,-0.946429167919726,0,1,1,0.403114712791513,1.00266064574567,0,3547.22564542602,1.0013861254044,0,5268.81375962914
861,50,0.112430056288386,0.0304513526487187,0.131271485821653,0.138964690485249,0.215054731193971,-0.647008809179117,-1.1438603246948,NA,2,0,2,0.296907399401086,1.00306440082004,0,3390.88457258297,1.00068769320114,0,6978.99376371926
861,200,-0.054174368318431,-0.0528522599047986,-0.0742224141573304,-0.0197704188208492,-0.176144420948802,-0.551650011769543,0.0906907358537028,-0.414475011601812,2,1,3,0.267559152526283,1.00479774826503,0,2737.37203339347,1.00054743489509,0,6250.4959470794
862,10,-0.153201954976299,0.0133169803813826,-1.35969156025131,-0.684752321690156,-0.491196942554147,-0.174546869443527,NA,NA,0,0,0,0.601277315462129,1.0024643502872,0,4121.15297891852,1.00188867062062,0,6459.42578270618
862,50,-0.0852982590813502,-0.0769046878561791,-0.0322428924089055,-0.0541505498899649,-1.39403131868599,0.864787098206566,NA,NA,0,0,0,0.279513103878135,1.001383919622,0,4316.93981925694,1.00099791032023,0,5169.41135369562
862,200,-0.049018072632216,0.0215117720770828,-0.0571335128791586,0.0204919620222245,-0.000557240901671641,0.0355910459730924,0.00539440764381194,-0.52388167033289,1,1,2,0.239599895056839,1.00191503322635,0,4975.47319500017,1.00163222634224,0,4630.94265660591
863,10,0.0240999044137353,0.585987013329369,-0.679717007284284,1.18021792697801,1.17137251289887,0.151743792288314,NA,NA,0,0,0,0.712062532612802,1.00236189928797,0,5054.04545263176,1.00145118237629,0,6188.92572235594
863,50,-0.205736855675706,0.0333460784916258,-0.0599175429459815,0.316467165762836,-3.29197379612306,-0.0505171404982933,NA,NA,0,0,0,0.378802018344054,1.00191445211373,0,3825.98454258586,1.00450337284283,0,8693.20016386304
863,200,-0.00265866435769135,0.0297602262779666,0.121503994424233,0.0227549187954286,-0.635713426889597,-0.223859927197552,0.194445854089413,0.176697711102976,1,1,2,0.349219594416227,1.00290726582717,1,3768.88193638068,1.00127591584016,0,6101.91796057166
864,10,0.11160218746019,0.215593277176308,0.226846482758553,0.294489566650352,-0.482669517265601,0.245677049751475,NA,NA,0,0,0,0.372065642253832,1.0036434173181,0,4039.24090793412,1.00149942119436,0,5615.7957171199
864,50,0.0902534705717362,0.0189304995500832,0.164315308175803,0.0288766016816748,-0.0437891025861008,-0.0738485786818063,0.161359811584989,NA,1,0,1,0.314375649295744,1.00414282906408,0,4817.67711023971,1.00125844642578,0,7182.88718758711
864,200,-0.00192369398550729,-0.0157483139039673,0.055083594798631,-0.0296067437696053,-0.961650513717199,-0.00954306031183089,0.0633096182769108,NA,1,0,1,0.258191023313988,1.00153728451968,0,4147.61112974494,1.00172955370414,0,6747.84046018784
865,10,0.245195621579351,0.14113550847218,0.523261262561491,0.322543247334956,-2.51464541319203,-0.0454383076057001,NA,NA,0,0,0,0.432116366492704,1.0021574905183,0,4211.82730696994,1.00163428691416,0,6167.099207659
