"","species","run","run.env","time","pop","thinned"
"5579","14",186,1.28870561047614,1,19,0
"5580","15",186,1.28870561047614,1,0,0
"5581","1",187,0.954051833581264,0,83,0
"5582","2",187,0.954051833581264,0,0,0
"5583","3",187,0.954051833581264,0,8,0
"5584","4",187,0.954051833581264,0,75,0
"5585","5",187,0.954051833581264,0,0,0
"5586","6",187,0.954051833581264,0,0,0
"5587","7",187,0.954051833581264,0,27,0
"5588","8",187,0.954051833581264,0,0,0
"5589","9",187,0.954051833581264,0,0,0
"5590","10",187,0.954051833581264,0,9,0
"5591","11",187,0.954051833581264,0,0,0
"5592","12",187,0.954051833581264,0,4,0
"5593","13",187,0.954051833581264,0,0,0
"5594","14",187,0.954051833581264,0,126,0
"5595","15",187,0.954051833581264,0,0,0
"5596","1",187,0.954051833581264,1,99,0
"5597","2",187,0.954051833581264,1,0,0
"5598","3",187,0.954051833581264,1,10,0
"5599","4",187,0.954051833581264,1,110,0
"5600","5",187,0.954051833581264,1,0,0
"5601","6",187,0.954051833581264,1,0,0
"5602","7",187,0.954051833581264,1,30,0
"5603","8",187,0.954051833581264,1,0,0
"5604","9",187,0.954051833581264,1,0,0
"5605","10",187,0.954051833581264,1,10,0
"5606","11",187,0.954051833581264,1,0,0
"5607","12",187,0.954051833581264,1,5,0
"5608","13",187,0.954051833581264,1,0,0
"5609","14",187,0.954051833581264,1,130,0
"5610","15",187,0.954051833581264,1,0,0
"5611","1",188,0.888271652996998,0,35,0
"5612","2",188,0.888271652996998,0,0,0
"5613","3",188,0.888271652996998,0,69,0
"5614","4",188,0.888271652996998,0,0,0
"5615","5",188,0.888271652996998,0,0,0
"5616","6",188,0.888271652996998,0,0,0
"5617","7",188,0.888271652996998,0,44,0
"5618","8",188,0.888271652996998,0,0,0
"5619","9",188,0.888271652996998,0,0,0
"5620","10",188,0.888271652996998,0,42,0
"5621","11",188,0.888271652996998,0,0,0
"5622","12",188,0.888271652996998,0,0,0
"5623","13",188,0.888271652996998,0,0,0
"5624","14",188,0.888271652996998,0,131,0
"5625","15",188,0.888271652996998,0,0,0
"5626","1",188,0.888271652996998,1,77,0
"5627","2",188,0.888271652996998,1,0,0
"5628","3",188,0.888271652996998,1,49,0
"5629","4",188,0.888271652996998,1,0,0
"5630","5",188,0.888271652996998,1,0,0
"5631","6",188,0.888271652996998,1,0,0
"5632","7",188,0.888271652996998,1,56,0
"5633","8",188,0.888271652996998,1,0,0
"5634","9",188,0.888271652996998,1,0,0
"5635","10",188,0.888271652996998,1,42,0
"5636","11",188,0.888271652996998,1,0,0
"5637","12",188,0.888271652996998,1,0,0
"5638","13",188,0.888271652996998,1,0,0
"5639","14",188,0.888271652996998,1,113,0
"5640","15",188,0.888271652996998,1,0,0
"5641","1",189,-0.0710892383604884,0,77,0
"5642","2",189,-0.0710892383604884,0,0,0
"5643","3",189,-0.0710892383604884,0,0,0
"5644","4",189,-0.0710892383604884,0,67,0
"5645","5",189,-0.0710892383604884,0,0,0
"5646","6",189,-0.0710892383604884,0,0,0
"5647","7",189,-0.0710892383604884,0,17,0
"5648","8",189,-0.0710892383604884,0,154,0
"5649","9",189,-0.0710892383604884,0,0,0
"5650","10",189,-0.0710892383604884,0,4,0
"5651","11",189,-0.0710892383604884,0,0,0
